session_id,app_user_code,phase,text_id,question_step_count,scored_question_count,quiz_status,correct_answers,percent_correct,question_event_count,question_assigned_event_count,question_assigned_event_percent,question_interval_sum_ms,text_step_event_count
S001,U015,P1,T12,3,3,complete,3,100.0,825,499,60.484848,153770,0
S001,U015,P1,T15,3,3,complete,3,100.0,1196,596,49.832776,208633,0
S001,U015,P1,T18,3,3,complete,1,33.333333,648,395,60.95679,95099,0
S001,U015,P1,T20,3,3,complete,3,100.0,652,333,51.07362,65189,0
S001,U015,P1,T24,3,3,complete,2,66.666667,484,206,42.561983,45652,0
S001,U015,P1,T27,3,3,complete,2,66.666667,518,249,48.069498,49911,0
S001,U015,P1,T28,3,3,complete,3,100.0,193,96,49.740933,19037,0
S001,U015,P1,T30,3,3,complete,3,100.0,378,144,38.095238,37425,0
S001,U015,P1,T37,3,3,complete,3,100.0,359,100,27.855153,35524,0
S001,U015,P1,T41,3,3,complete,3,100.0,285,107,37.54386,28121,0
S002,U015,P2,T2,3,3,complete,2,66.666667,726,366,50.413223,108495,0
S002,U015,P2,T5,3,3,complete,1,33.333333,277,152,54.873646,41627,0
S002,U015,P2,T17,3,3,complete,2,66.666667,194,63,32.474227,29129,0
S002,U015,P2,T26,3,3,complete,3,100.0,179,54,30.167598,20086,0
S002,U015,P2,T33,3,3,complete,3,100.0,345,180,52.173913,39328,0
S002,U015,P2,T42,3,3,complete,1,33.333333,401,191,47.630923,37970,0
S002,U015,P2,T45,3,3,complete,3,100.0,316,127,40.189873,30532,0
S002,U015,P2,T47,3,3,complete,2,66.666667,113,48,42.477876,11364,0
S002,U015,P2,T48,3,3,complete,2,66.666667,73,35,47.945205,7557,0
S002,U015,P2,T49,3,3,complete,3,100.0,177,64,36.158192,16987,0
S003,U010,P3B,T3,3,3,complete,3,100.0,171,21,12.280702,18685,0
S003,U010,P3B,T4,3,3,complete,3,100.0,194,39,20.103093,24332,141
S003,U010,P3B,T9,3,3,complete,3,100.0,176,53,30.113636,16815,94
S003,U010,P3B,T10,3,3,complete,3,100.0,129,34,26.356589,9866,87
S003,U010,P3B,T19,3,3,complete,3,100.0,141,24,17.021277,10896,133
S003,U010,P3B,T29,3,3,complete,3,100.0,81,19,23.45679,5359,74
S003,U010,P3B,T31,3,3,complete,3,100.0,119,28,23.529412,7781,85
S003,U010,P3B,T32,3,3,complete,3,100.0,113,29,25.663717,7330,87
S003,U010,P3B,T46,3,3,complete,3,100.0,165,38,23.030303,10704,156
S003,U010,P3B,T50,3,3,complete,3,100.0,105,24,22.857143,6793,128
S004,U016,P2,T2,3,1,partial,,,8,8,100.0,813,0
S004,U016,P2,T5,3,0,unscored,,,1,0,0.0,83,0
S004,U016,P2,T17,3,0,unscored,,,2,0,0.0,154,0
S004,U016,P2,T26,3,0,unscored,,,1,0,0.0,106,0
S004,U016,P2,T33,3,0,unscored,,,1,0,0.0,122,0
S004,U016,P2,T42,3,0,unscored,,,1,0,0.0,67,0
S004,U016,P2,T45,3,0,unscored,,,1,0,0.0,104,0
S004,U016,P2,T47,3,0,unscored,,,2,0,0.0,135,0
S004,U016,P2,T48,3,0,unscored,,,2,0,0.0,145,0
S004,U016,P2,T49,3,0,unscored,,,2,0,0.0,152,0
S005,U008,P1,T12,3,2,partial,,,124,100,80.645161,22566,0
S005,U008,P1,T15,3,2,partial,,,223,86,38.565022,50167,0
S005,U008,P1,T18,3,2,partial,,,20,6,30.0,1927,0
S005,U008,P1,T20,3,3,complete,0,0.0,61,37,60.655738,6244,0
S005,U008,P1,T24,3,3,complete,0,0.0,16,11,68.75,1944,0
S005,U008,P1,T27,3,3,complete,1,33.333333,48,20,41.666667,4169,0
S005,U008,P1,T28,3,3,complete,0,0.0,54,29,53.703704,4811,0
S005,U008,P1,T30,3,3,complete,0,0.0,55,31,56.363636,5229,0
S005,U008,P1,T37,3,3,complete,1,33.333333,49,21,42.857143,4626,0
S005,U008,P1,T41,3,3,complete,1,33.333333,47,19,40.425532,4171,0
S006,U006,P2,T2,3,3,complete,2,66.666667,279,115,41.218638,19828,0
S006,U006,P2,T5,3,3,complete,3,100.0,267,162,60.674157,20436,0
S006,U006,P2,T17,3,3,complete,3,100.0,164,89,54.268293,13084,0
S006,U006,P2,T26,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T33,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T42,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T45,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T47,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T48,3,3,complete,3,100.0,0,0,,0,0
S006,U006,P2,T49,3,3,complete,3,100.0,0,0,,0,0
S007,U024,P1,T12,3,2,partial,,,555,197,35.495495,51569,0
S007,U024,P1,T15,3,3,complete,2,66.666667,502,303,60.358566,43597,0
S007,U024,P1,T18,3,3,complete,3,100.0,300,234,78.0,19116,0
S007,U024,P1,T20,3,2,partial,,,416,258,62.019231,27262,0
S007,U024,P1,T24,3,2,partial,,,348,202,58.045977,23469,0
S007,U024,P1,T27,3,2,partial,,,202,133,65.841584,13549,0
S007,U024,P1,T28,3,3,complete,3,100.0,153,81,52.941176,10566,0
S007,U024,P1,T30,3,2,partial,,,154,64,41.558442,10771,0
S007,U024,P1,T37,3,3,complete,1,33.333333,95,44,46.315789,6711,0
S007,U024,P1,T41,3,3,complete,2,66.666667,89,43,48.314607,6047,0
S008,U017,P2,T2,3,3,complete,2,66.666667,597,406,68.0067,59082,0
S008,U017,P2,T5,3,3,complete,3,100.0,509,372,73.084479,46799,0
S008,U017,P2,T17,3,3,complete,3,100.0,429,304,70.862471,25371,0
