session_id,app_user_code,phase
S001,U015,P1
S002,U015,P2
S003,U010,P3B
S004,U016,P2
S005,U008,P1
S006,U006,P2
S007,U024,P1
S008,U017,P2
S009,U020,P3B
S010,U006,P1
S011,U001,P3A
S012,U014,P1
S013,U025,P2
S014,U019,P1
S015,U023,P2
S016,U003,P3B
S017,U016,P2
S018,U009,P1
S019,U016,P2
S020,U001,P2
S021,U004,P2
S022,U023,P1
S023,U022,P1
S024,U013,P3B
S025,U002,P2
S026,U013,P2
S027,U003,P2
S028,U012,P1
S029,U016,P1
S030,U005,P2
S031,U023,P3B
S032,U024,P2
S033,U007,P1
S034,U015,P3A
S035,U004,P2
S036,U012,P3B
S037,U005,P1
S038,U026,P2
S039,U011,P3B
S040,U021,P1
S041,U011,P2
S042,U016,P2
S043,,P1
S044,U010,P1
S045,U003,P1
S046,U012,P2
S047,U025,P1
S048,U008,P2
S049,U014,P2
S050,U013,P1
S051,U018,P1
S052,U002,P1
S053,U024,P3B
S054,U010,P2
S055,U011,P1
S056,U020,P2
S057,U001,P1
S058,U009,P2
S059,U007,P2
S060,U004,P1
