assigned_instruction,reported_strategy,records,source_id,source_location
SKIM,SKIM,17,SURVEY,Figure3
SKIM,SEQ,2,SURVEY,Figure3
SKIM,DEEP,4,SURVEY,Figure3
SKIM,OTHER,0,SURVEY,Figure3
SEQ,SKIM,5,SURVEY,Figure3
SEQ,SEQ,16,SURVEY,Figure3
SEQ,DEEP,4,SURVEY,Figure3
SEQ,OTHER,0,SURVEY,Figure3
DEEP,SKIM,0,SURVEY,Figure3
DEEP,SEQ,2,SURVEY,Figure3
DEEP,DEEP,4,SURVEY,Figure3
DEEP,OTHER,1,SURVEY,Figure3
OTHER,SKIM,0,SURVEY,Figure3
OTHER,SEQ,1,SURVEY,Figure3
OTHER,DEEP,1,SURVEY,Figure3
OTHER,OTHER,13,SURVEY,Figure3
